t,distance,closing_speed,future_distance,risk,ttc,prediction_error,alert,in_danger_zone
0.0,160.91,6.46,68.15,0.464,24.92,0,WARNING,0
0.5,154.47,6.44,62.71,0.475,23.98,4.59,WARNING,0
1.0,148.04,6.42,57.5,0.486,23.05,4.6,WARNING,0
1.5,141.64,6.4,52.62,0.497,22.12,4.59,WARNING,0
2.0,135.25,6.38,48.16,0.509,21.2,4.6,WARNING,0
2.5,128.89,6.35,44.25,0.52,20.28,4.59,WARNING,0
3.0,122.56,6.32,41.04,0.531,19.38,4.6,WARNING,0
3.5,116.26,6.29,38.71,0.541,18.49,4.59,WARNING,0
4.0,110.0,6.25,37.42,0.552,17.61,4.6,WARNING,0
4.5,103.78,6.2,36.42,0.563,16.75,4.51,WARNING,0
5.0,97.62,6.14,36.65,0.573,15.91,4.5,WARNING,0
5.5,91.53,6.06,36.89,0.583,15.09,4.49,WARNING,0
6.0,85.52,5.98,37.17,0.592,14.31,4.5,WARNING,0
6.5,79.6,5.87,37.31,0.601,13.57,4.5,WARNING,0
7.0,73.8,5.73,37.35,0.609,12.88,4.5,WARNING,0
7.5,68.16,5.56,37.38,0.616,12.26,4.49,WARNING,0
8.0,62.71,5.34,37.43,0.622,11.74,4.5,WARNING,0
8.5,57.51,5.06,37.48,0.626,11.36,4.5,WARNING,0
9.0,52.62,4.69,37.41,0.628,11.21,4.5,WARNING,0
9.5,48.16,4.54,37.4,0.633,10.61,4.5,WARNING,1
10.0,44.25,4.42,37.3,0.639,10.0,4.49,WARNING,1
10.5,41.04,4.21,37.31,0.641,9.74,4.5,WARNING,1
11.0,38.71,3.87,37.3,0.645,9.99,4.49,WARNING,1
11.5,37.42,3.4,37.32,0.646,11.02,4.48,WARNING,1
12.0,37.29,2.79,38.31,0.643,13.34,4.49,WARNING,1
12.5,38.31,2.12,40.37,0.638,18.06,4.5,WARNING,1
13.0,40.42,1.44,43.36,0.63,27.98,4.48,WARNING,1
13.5,43.44,0.82,47.09,0.62,53.16,4.49,WARNING,1
14.0,47.21,0.27,51.43,0.609,176.87,4.49,WARNING,1
14.5,51.56,0.0,56.19,0.39,,4.49,SAFE,0
15.0,56.35,0.0,61.33,0.39,,4.49,SAFE,0
15.5,61.49,0.0,66.73,0.39,,4.5,SAFE,0
16.0,66.9,0.0,72.34,0.39,,4.49,SAFE,0
16.5,72.53,0.0,78.13,0.39,,4.49,SAFE,0
17.0,78.33,0.0,84.07,0.39,,4.49,SAFE,0
17.5,84.28,0.0,90.13,0.39,,4.49,SAFE,0
18.0,90.34,0.0,96.28,0.39,,4.49,SAFE,0
18.5,96.51,0.0,102.51,0.39,,4.49,SAFE,0
19.0,102.77,0.0,0,0.39,,0,SAFE,0
19.5,109.1,0.0,0,0.39,,0,SAFE,0
20.0,115.5,0.0,0,0.39,,0,SAFE,0
20.5,121.95,0.0,0,0.39,,0,SAFE,0
21.0,128.46,0.0,0,0.39,,0,SAFE,0
21.5,135.02,0.0,0,0.39,,0,SAFE,0
22.0,141.63,0.0,0,0.39,,0,SAFE,0
22.5,148.27,0.0,0,0.39,,0,SAFE,0
23.0,154.95,0.0,0,0.375,,0,SAFE,0
23.5,161.67,0.0,0,0.361,,0,SAFE,0
24.0,168.43,0.0,0,0.346,,0,SAFE,0
24.5,175.21,0.0,0,0.332,,0,SAFE,0
25.0,182.03,0.0,0,0.317,,0,SAFE,0
25.5,188.88,0.0,0,0.302,,0,SAFE,0
26.0,195.75,0.0,0,0.287,,0,SAFE,0
26.5,202.65,0.0,0,0.272,,0,SAFE,0
27.0,209.58,0.0,0,0.257,,0,SAFE,0
27.5,216.54,0.0,0,0.242,,0,SAFE,0
28.0,223.51,0.0,0,0.227,,0,SAFE,0
28.5,230.52,0.0,0,0.212,,0,SAFE,0
29.0,237.54,0.0,0,0.197,,0,SAFE,0
29.5,244.59,0.0,0,0.182,,0,SAFE,0
30.0,251.66,0.0,0,0.17,,0,SAFE,0
30.5,258.76,0.0,0,0.17,,0,SAFE,0
31.0,265.87,0.0,0,0.17,,0,SAFE,0
31.5,273.01,0.0,0,0.17,,0,SAFE,0
32.0,280.17,0.0,0,0.17,,0,SAFE,0
32.5,287.34,0.0,0,0.17,,0,SAFE,0
33.0,294.54,0.0,0,0.17,,0,SAFE,0
33.5,301.76,0.0,0,0.17,,0,SAFE,0
34.0,308.99,0.0,0,0.17,,0,SAFE,0
34.5,316.25,0.0,0,0.17,,0,SAFE,0
